search_term,post_id,creator,posted_date,likes,comments,hashtags,caption,image_description,post_url,status
"#foodporn","DRa6qq-Ed10","youngcheddar916","November 24, 2025","5207","","#fyp #fries #fastfood #foodporn","Those fries better calm down","Burger with melted cheese and french fries with text overlay about french fries","https://www.instagram.com/p/DRa6qq-Ed10/","SCRAPED"
"#foodporn","DRUi9bJDZFU","gostopuroit","November 21, 2025","7282","","#recipes #recipe #christmas #christmasrecipes #xmas #christmasdinner #foodlovers #foodporn #food #gostopuro #natale #ricettedinatale #familia #famiglia #family #breakfast #lunch #dinner #snack #brunch","L'Alberello di Sfoglia piu scenografico del Natale - Christmas tree shaped pastry","Christmas tree shaped puff pastry with pesto and cheese filling decorated with herbs and pomegranate","https://www.instagram.com/p/DRUi9bJDZFU/","SCRAPED"
"#foodporn","DSJDgkaAZ5i","chefroi_","December 12, 2025","11579","","#chefroi #cheflife #foodie #foodporn","Banana pudding pancakes are one of my new favs w/ da flats fried hard tho","Banana pudding pancakes topped with Nilla wafers and vanilla pudding served with fried chicken","https://www.instagram.com/p/DSJDgkaAZ5i/","SCRAPED"
"#foodporn","DSVKZpYCOtl","supreme_burger_house","December 16, 2025","86","","#burger #cheese #foodporn #food #hamburger #foodlover #supreme","","Large double cheeseburger with melted cheese dripping down on sesame bun with sweet potato fries","https://www.instagram.com/p/DSVKZpYCOtl/","SCRAPED"
"#foodporn","DTCVJyLDN3p","chef_yasinshaik_offical_","January 4, 2026","3960","","#trendingpost #viralvideo #posts #foodlover #foodgasm #foodporn #foryou #fitnessmodel #foodblogger #financialfreedom #fypage #friendshipgoals","12 types of pizzas","Infographic showing 12 types of pizza: Margherita Pepperoni Hawaiian Four Cheese Veggie BBQ Chicken Buffalo Chicken Supreme Neapolitan White Pizza Mushroom","https://www.instagram.com/p/DTCVJyLDN3p/","SCRAPED"
"#foodporn","DRXPO-bEmUc","bakerbynature","November 22, 2025","4247","","#foodstagram #foodphotography #foodporn #food #f52grams #recipes #dessert #chocolate #pie #instafood #foodie","No baking required for this CHOCOLATE CREAM PIE!!! Crunchy chocolate crust + creamy chocolate filling + freshly whipped cream","Slice of chocolate cream pie with dark chocolate crust rich chocolate filling and whipped cream topping","https://www.instagram.com/p/DRXPO-bEmUc/","SCRAPED"
"#foodporn","DSu1twmDg8c","kroissant.br","December 26, 2025","134799","","#trend #fyp #food #foodporn #kroissant","Ja tem 8M de pessoas conhecendo Maria nesse post - Parabens Maria Nossa Funcionaria do Mes","Employee of the month spotlight showing Maria in chef attire in golden frame with flowers","https://www.instagram.com/p/DSu1twmDg8c/","SCRAPED"
"#foodporn","DSZgo3TCVrE","foodwikii","December 18, 2025","5112","","#foodporn #food","Yummy Which one you prefer? Comment down Tag a food lover","Spend $10 appetizer menu showing various fried foods at different price points Pizza Roll Ups Potato Skins Mozzarella Sticks Buffalo Crunchers","https://www.instagram.com/p/DSZgo3TCVrE/","SCRAPED"
"#foodporn","DSPoePACDdJ","bestfood_official_","December 14, 2025","1103","","#food #foodporn #foodstagram","FETTUCCINE CON CREMA DI PEPERONI TRITATO DI MANZO SALSICCIA E CIPOLLA - Italian pasta dish","Creamy fettuccine pasta with ground beef and sausage in rich cream sauce","https://www.instagram.com/p/DSPoePACDdJ/","SCRAPED"
"#foodporn","DSe5H1tkWtU","tastytreaat","December 20, 2025","2390","","#food #foodporn #foodphotography #foodstagram #yummy","Yummy Which one you prefer? Comment down Pick Two desserts","Pick Two ice cream cookie bowls with 9 flavors Cookies and Cream Cookie Dough Chocolate Brownie Mint Chocolate Strawberry Blueberry Churro Chocolate Raspberry Popcorn","https://www.instagram.com/p/DSe5H1tkWtU/","SCRAPED"
"#foodie","DSr5MLpDoOc","chef_yasinshaik_offical_","December 25, 2025","2788","","#foodie #mayonnaise #recipe","Types of Mayonnaise - Boiled Egg, Avocado, Cashew, Yogurt variations","Infographic showing different types of mayonnaise recipes with ingredients","https://www.instagram.com/p/DSr5MLpDoOc/","SCRAPED"
"#foodie","DQmYdvjk0B3","foodiesegment","November 3, 2025","","","#foodie #chickensandwich #fastfood","Pick a Chicken Sandwich comparison","Grid showing chicken sandwiches from 9 fast food chains: Popeyes, Chick-fil-a, KFC, Bojangles, McDonalds, Churchs, Raising Canes, Zaxbys, Wingstop","https://www.instagram.com/p/DQmYdvjk0B3/","SCRAPED"
"#foodie","DSfILYbDzZj","chef_hemanta","December 20, 2025","3981","","#foodie #tomato #vegetables","Types of Tomato varieties","Infographic showing tomato varieties: Money Maker, Yellow Tomato, Campari, Black Karim, Early Girl, Cherokee, Celebrity, Sam Marzano, Heirloom","https://www.instagram.com/p/DSfILYbDzZj/","SCRAPED"
"#foodie","DRSMJwoAUnp","omomoteashop","November 20, 2025","3673","","#foodie #milktea #ube","Ube milk tea drinks","Purple ube flavored milk tea drinks with tapioca pearls in clear cups","https://www.instagram.com/p/DRSMJwoAUnp/","SCRAPED"
"#foodie","DSzwzR6jElx","ayoosh_barjous","December 28, 2025","10936","","#foodie #chocolate #cake #arabic","Arabic chocolate cake recipe","Rich chocolate cake with Arabic recipe instructions showing ingredients and preparation steps","https://www.instagram.com/p/DSzwzR6jElx/","SCRAPED"
"#foodie","DS0X1F-kxfn","recxipes","December 29, 2025","","","#pancakes #foodie #fyp","Pick our top 4 pancakes","Pancake types A-Z guide showing 20 varieties including Buttermilk Original, Oreo Cookie, Bacon Stack, Raspberry, New York Cheesecake, Ube, Birthday Cake, Lemon Oreo, Double Chocolate, Carrot Cake, Girl Scout Thin Mint, Lemon, Tres Leches, Cherry, Apple Pie, Blueberry, Smores, Red Velvet, Cinnamon, Oatmeal","https://www.instagram.com/p/DS0X1F-kxfn/","SCRAPED"
"#foodie","DSpetp6iev-","bhojan_bikaneri1","December 24, 2025","40672","","#food #foodie #foodporn #instafood #foodphotography","Indian dessert post","Four bowls of red Indian dessert Gajar Ka Halwa garnished with cashews, pistachios and silver leaf on metal thali","https://www.instagram.com/p/DSpetp6iev-/","SCRAPED"
"#foodie","DTA9qs4E5OT","dicanapanela","January 2, 2026","2004","","#foodie #pineapple #coconut #recipe","Aneis Crocantes de Abacaxi com Coco - Crispy pineapple rings with coconut recipe","Crispy coconut-coated pineapple rings on white plate - Portuguese baked snack recipe","https://www.instagram.com/p/DTA9qs4E5OT/","SCRAPED"
