restaurant_name,city,instagram_handle,followers,posts,bio,website,status
"COOPERTOWN RESTAURANT","NEW YORK","","","","","","NOT_FOUND"
"ALI BABAS CAVE","SAN FRANCISCO","","","","","","NOT_CHECKED"
"BOBS GRILL AND GROCERY","SAN FRANCISCO","","","","","","NOT_CHECKED"
"LUKE S LOBSTER","NEW YORK","@lukeslobster","123K","4316","Traceable + sustainable. Shipped direct from ME","linkin.bio/lukeslobster","FOUND"
"SMOOTHY PLACE","NEW YORK","","","","","","NOT_CHECKED"
"PICCOLA STRADA","NEW YORK","","","","","","NOT_CHECKED"
"JP STREET","NEW YORK","","","","","","NOT_CHECKED"
"KRISPY KRUNCHY CHICKEN","SAN FRANCISCO","@krispykrunchychicken","43.8K","970","Southern-style fried chicken with over 3500 locations","sprout.link/krispykrunchychicken","FOUND"
"FREEHOLD","NEW YORK","@freeholdbrooklyn","6","0","","","EMPTY_PROFILE"
"IL CANTINORIE RESTAURAUNT","NEW YORK","","","","","","NOT_CHECKED"
"LIBRARY OF DISTILLED SPIRITS","NEW YORK","","","","","","NOT_CHECKED"
"WESBURGER N MORE","SAN FRANCISCO","","","","","","NOT_CHECKED"
"MEADOWS LIVINGSTONE SCHOOL","SAN FRANCISCO","","","","","","NOT_CHECKED"
"ODDBALL FILMS","SAN FRANCISCO","","","","","","NOT_CHECKED"
"CHO-KO RESTAURANT","NEW YORK","","","","","","NOT_CHECKED"
"STUFFED ICE CREAM","NEW YORK","","","","","","WRONG_PROFILE"
"DAILY ANK APPLE","NEW YORK","","","","","","NOT_CHECKED"
"ASTOR PLATE","NEW YORK","","","","","","NOT_CHECKED"
"CRUNCH FITNESS","NEW YORK","","","","","","NOT_CHECKED"
"Jacks sliders and sushi","Manhattan","","","","","","NOT_FOUND"
"REEF KITCHENS","SAN FRANCISCO","","","","","","NOT_CHECKED"
"The Boil Waverly","NEW YORK","","","","","","NOT_FOUND"
"ZANTE PIZZA","SAN FRANCISCO","@zantepizza","7","0","","","WRONG_PROFILE"
"COFFEE KLATCH","SAN FRANCISCO","","","","","","NOT_CHECKED"
"JEEPNEY","NEW YORK","@jeepneynyc","24.8K","115","Filipino restaurant. James Beard. Best Burger NYC","goldbelly.com/jeepney","FOUND"
"MISSION CULTURAL CENTER FOR LATINO ARTS","SAN FRANCISCO","","","","","","NOT_CHECKED"
"GRUBSTAKE BURGERS AND BREAKFAST","SAN FRANCISCO","","","","","","NOT_CHECKED"
"BOBA GUYS MILK TEA & SNACK BAR","SAN FRANCISCO","@bobaguys","124K","4196","Bridging cultures since 2011. Next level boba & tea","linktr.ee/bobaguys","FOUND"
"CVS PHARMACY","NEW YORK","@cvspharmacy","302K","1509","Health/beauty. Healthier happens together","visitstore.bio/cvspharmacy","FOUND"
"Oakes Children s Center","SAN FRANCISCO","","","","","","NOT_CHECKED"
